program_id,month,year,plan_value,actual_value,status
25,nov,2026,0,0,pending
25,dec,2026,0,0,pending
26,jan,2026,0,0,pending
26,feb,2026,0,0,pending
26,mar,2026,0,0,pending
26,apr,2026,0,0,pending
26,may,2026,0,0,pending
26,jun,2026,0,0,pending
26,jul,2026,0,0,pending
26,aug,2026,1,1,completed
26,sep,2026,0,0,pending
26,oct,2026,0,0,pending
26,nov,2026,0,0,pending
26,dec,2026,0,0,pending
27,jan,2026,1,1,completed
27,feb,2026,0,0,pending
27,mar,2026,0,1,pending
27,apr,2026,1,1,completed
27,may,2026,1,1,completed
27,jun,2026,0,0,pending
27,jul,2026,0,0,pending
27,aug,2026,0,1,pending
27,sep,2026,0,0,pending
27,oct,2026,0,1,pending
27,nov,2026,0,0,pending
27,dec,2026,0,0,pending
28,jan,2026,0,0,pending
28,feb,2026,0,0,pending
28,mar,2026,0,0,pending
28,apr,2026,0,0,pending
28,may,2026,0,0,pending
28,jun,2026,0,0,pending
28,jul,2026,0,0,pending
28,aug,2026,0,0,pending
28,sep,2026,0,0,pending
28,oct,2026,0,0,pending
28,nov,2026,0,0,pending
28,dec,2026,0,0,pending
29,jan,2026,0,0,pending
29,feb,2026,0,0,pending
29,mar,2026,0,0,pending
29,apr,2026,0,0,pending
29,may,2026,0,0,pending
29,jun,2026,0,0,pending
29,jul,2026,1,1,completed
29,aug,2026,0,0,pending
29,sep,2026,0,1,pending
29,oct,2026,0,1,pending
29,nov,2026,0,0,pending
29,dec,2026,0,0,pending
30,jan,2026,0,0,pending
30,feb,2026,1,1,completed
30,mar,2026,0,0,pending
30,apr,2026,0,0,pending
30,may,2026,0,0,pending
30,jun,2026,1,1,completed
30,jul,2026,0,0,pending
30,aug,2026,0,0,pending
30,sep,2026,0,0,pending
30,oct,2026,0,0,pending
30,nov,2026,0,0,pending
30,dec,2026,1,0,pending
31,jan,2026,1,1,completed
31,feb,2026,0,0,pending
31,mar,2026,0,1,pending
31,apr,2026,1,1,completed
31,may,2026,0,0,pending
31,jun,2026,0,0,pending
31,jul,2026,0,0,pending
31,aug,2026,0,1,pending
31,sep,2026,0,0,pending
31,oct,2026,1,1,completed
31,nov,2026,0,0,pending
31,dec,2026,0,0,pending
32,jan,2026,0,0,pending
32,feb,2026,0,0,pending
32,mar,2026,0,0,pending
32,apr,2026,0,0,pending
32,may,2026,0,0,pending
32,jun,2026,1,1,completed
32,jul,2026,0,0,pending
32,aug,2026,1,1,completed
32,sep,2026,1,1,completed
32,oct,2026,0,0,pending
32,nov,2026,0,0,pending
32,dec,2026,0,0,pending
33,jan,2026,0,0,pending
33,feb,2026,1,1,completed
33,mar,2026,0,1,pending
33,apr,2026,0,0,pending
33,may,2026,0,0,pending
33,jun,2026,0,0,pending
33,jul,2026,1,1,completed
33,aug,2026,0,0,pending
33,sep,2026,0,0,pending
33,oct,2026,0,0,pending
33,nov,2026,1,1,completed
33,dec,2026,0,0,pending
34,jan,2026,1,1,completed
34,feb,2026,1,1,completed
34,mar,2026,1,1,completed
34,apr,2026,0,0,pending
34,may,2026,0,0,pending
34,jun,2026,0,0,pending
34,jul,2026,0,0,pending
34,aug,2026,0,0,pending
34,sep,2026,0,0,pending
34,oct,2026,0,0,pending
34,nov,2026,0,0,pending
34,dec,2026,0,0,pending
35,jan,2026,0,0,pending
35,feb,2026,0,0,pending
35,mar,2026,1,1,completed
35,apr,2026,0,0,pending
35,may,2026,0,0,pending
35,jun,2026,0,0,pending
35,jul,2026,0,0,pending
35,aug,2026,0,0,pending
35,sep,2026,0,0,pending
35,oct,2026,0,0,pending
35,nov,2026,0,0,pending
35,dec,2026,0,0,pending
36,jan,2026,0,0,pending
36,feb,2026,0,0,pending
36,mar,2026,1,1,completed
36,apr,2026,0,0,pending
36,may,2026,0,0,pending
